Overview,Website,Industry,Company Size,Headquarters,Founded,Specialties,Company Name,LinkedIn URL
"Bhanzu, founded by the World's Fastest Human Calculator is a math-learning platform with a meticulously designed curriculum that helps students become 4x quicker and better at math by nurturing their cognitive abilities and building their core math acumen. 

The vision of Bhanzu is to build the most thought through math curriculum using personalised AI-aided methodology, which builds confidence in students, by enabling them to apply math in the real world.",https://bhanzu.com/book-demo/?utm_source=BhanzuLinkedIn,Higher Education,"501-1,000 employees","Hyderabad, Telangana",2020,"mental ability, corporate training, and math education",Bhanzu,https://www.linkedin.com/company/bhanzu/
"Leap is the complete platform for the professional contractor. Whether you’re a neighborhood contractor or a national franchise, you get a complete platform to handle everything from sales to production management to customer service – all in a single platform.",https://leaptodigital.com/,Software Development,51-200 employees,"Columbia, Maryland",2016,"Digital Solutions, CRM Integration, Estimating, Bidding, Proposals, Contracts, Financing, Billing, Sales Software, Price Guide, E-Signatures, Remote Signatures, Digital Documents, Digital Resources, Price Control, Presenting Price, Automating Sales Processes, Digital Presentations, Eliminate Errors, Measurement Integrations, and Integrations",Leap,https://www.linkedin.com/company/leaptodigital/
"Launched in 2007, BookMyShow, owned and operated by Big Tree Entertainment Pvt Ltd (founded in 1999), is India's leading entertainment destination and the one-stop-shop for every out-of-home entertainment need. The firm is present in over 650 towns and cities in India and works with partners across the industry to provide unmatched entertainment experiences to millions of customers. Over the years, the company has evolved from a purely online ticketing platform for movies across 6,000 screens to end-to-end management of live entertainment events including music concerts, live performances, theatricals, sports, and more, all accomplished at par with global standards. Some of the key properties that BookMyShow has brought to its markets over the past few years include U2’s The Joshua Tree Tour, NBA’s debut games in India, Disney’s Aladdin, Cirque du Soleil BAZZAR as also international artists such as Coldplay, Ed Sheeran, Justin Bieber to name a few.  

 

BookMyShow has also built India’s largest organic reviews and ratings engine for movies and has driven technology innovations, such as the m-ticket and Movie Mode, impacting tens of millions of users and the industry at large. With continued support from investors including TPG Growth, Stripes Group, Elevation Capital (formerly SAIF Partners), Accel, and Network18, BookMyShow is invested in providing the best user experience, whether on-ground or online. Demonstrating category leadership, BookMyShow has grown beyond India with operations in Dubai, Indonesia, Sri Lanka, and Singapore amongst others. The Mumbai-headquartered company counts Ticket Green, Eventifier, Masti Tickets, Townscript, and Burrp amongst its key investments in the sector. BookMyShow is also committed to society at large, by way of its charity initiative BookASmile, which provides entertainment experiences to the underprivileged. For more information, please visit www.bookmyshow.com.",http://in.bookmyshow.com/,Entertainment Providers,"1,001-5,000 employees",N/A,2007,"Online Ticketing, Online Marketing, Online Reviews, and Online Customer Delight",BookMyShow,https://www.linkedin.com/company/bookmyshow/
"Jupiter is an all things money app with one simple aim – to deliver a financial experience that keeps pace with you. We help you cut through the jargons, offer smart insights based on your spending, and provide you with a range of new-age features to enable you to make sense of your finances.",http://jupiter.money/,Banking,"501-1,000 employees","Mumbai, Maharashtra",2019,N/A,Jupiter,https://www.linkedin.com/company/jupiter-money/
"Welcome to SUN Mobility, where we aim to make electric vehicles affordable and accessible to all. 

SUN Mobility is a joint venture between the Maini Group and SUN Group -co-founded by Chetan Maini, founder of India’s first electric car company, Reva, and Uday Khemka, Vice Chairman of the SUN Group. 

At SUN Mobility, we believe electric vehicles are the future of mobility, and we aim to accelerate the adoption of electric mobility with our innovative battery swapping technology. Our technology is designed to be universally interoperable across various vehicle platforms and form factors, making it future-proof, sustainable and highly scalable. 

With our state-of-the art Smart Batteries and vast network of IoT-enabled Swap Points, EV charging times and range anxiety are a thing of the past. Our unique approach of separating the batteries from vehicles through the battery subscription model addresses key issues such as high upfront cost, range anxiety and long charging times. 

Our battery swapping services are not only faster and more convenient than traditional EV charging, but they are also better for the planet.  With collaborations and partnerships spanning the best of the industry’s vehicle manufacturers, battery cell technology providers, fleet operators, ride-sharing players and last-mile transport operators, we are proud to be at the forefront of the EV revolution. 

Join us on our journey towards a clean, green, and sustainable future for us all.",https://www.sunmobility.com/,Renewable Energy Equipment Manufacturing,"501-1,000 employees","Bangalore, Karnataka",2017,N/A,SUN Mobility,https://www.linkedin.com/company/sunmobility/
"SarvaGram is India's 1st rural household-centric platform for financial services, risk mitigant & productivity enhancement Farm tools.

We provide Loan & Insurance services, currently in the states of Maharashtra, Gujarat, Rajasthan, Karnataka & Telangana. We offer Farm loan, Business loan, Home loan, Consumer durable loan, Personal loan, Gold loan. One-stop-shop for all types of credit needs.

Our Insurance partners are HDFC Life, Bajaj Allianz and HDFC ERGO.

Farm Mechanization services are provided through our franchisee partners SarvaMitra who is local to your village and has implements for all seasons on pay per use basis.",http://www.sarvagram.com/,Financial Services,"1,001-5,000 employees","Pune, Maharashtra",2018,High touch- High Tech and Reaching underbanked but credit worthy,SarvaGram,https://www.linkedin.com/company/sarvagram-fincare-pvt-ltd/
"India’s first and largest end-to-end smartphone solution provider. 
- Use our buying guide to purchase the smartphone that’s best suited for you. 
- Buy the trendiest high quality mobile accessories that give you the edge.
- Get your smartphone repaired at the most affordable prices by our super-skilled technical team.
- Shop from our wide range of refurbished smartphones at exciting prices and 6 months warranty.
- Sell your used smartphone right from your doorstep and get instant cash on the spot.

Get in touch with us for everything mobile and find services at zero hassles.",http://www.cashify.in/,Consumer Services,"501-1,000 employees","Gurgaon, Haryana",2009,Recommerce and Consumer Internet,Cashify,https://www.linkedin.com/company/cashify/
"Molbio is a disruptor in the global healthcare landscape, shifting existing paradigms in point-of-care diagnostics. With a vision focused on universalizing access to precise, rapid and cost-effective healthcare technologies, Molbio is at the forefront of providing cutting-edge solutions for quality healthcare delivery at the last mile by decentralizing and democratizing diagnostics through its advanced portable platforms. Renowned for its WHO-endorsed Truenat® real-time PCR platform, and an ever-growing basket of tests, Molbio empowers remote, resource-poor settings worldwide to implement sophisticated diagnostics for infectious diseases like TB and hepatitis to non-communicable diseases such as breast cancer, sickle cell disease, diabetes, and more.",http://www.molbiodiagnostics.com/,Medical Equipment Manufacturing,"1,001-5,000 employees","VERNA, Goa",2000,"Molecular Diagnostics, TB Diagnostic Tools, Point of care testing, Portable Multi Disease RT-PCR, Ultra Portable Handheld X-Ray, Breast Cancer Screening with AI, TRUENAT, PRORAD, and portable healthcare diagnostic solutions",Molbio Diagnostics,https://www.linkedin.com/company/molbio-diagnostics/
"Varthana provides loans and support to affordable private schools in India with the goal of improving access to quality education to India's low-income and emerging middle class families. 

Varthana partners with those education entrepreneurs who have a sense of urgency about improving access to quality education in low-income communities. These entrepreneurs are usually (not always) ex-educators themselves, who have spent time teaching children in the neighborhood and have then slowly expanded to start a school. They are driven by their mission to provide a robust education, often far superior to the government alternatives.

Loans are typically used to either improve the quality or expand the capacity of the school.

You can connect with us on hello@varthana.com",https://www.varthana.com/,Financial Services,"501-1,000 employees","Bengaluru, Karnataka",2013,N/A,Varthana,https://www.linkedin.com/company/varthana/
"Established in 2018, CoinDCX is the preferred crypto exchange in India, but also an instrumental player in building the broader Web3 ecosystem. 

Trusted by over 1.4 crore registered users. Our mission is simple: to provide easy access to Web3 experiences and democratize investments in virtual digital assets. We prioritize user safety and security, strictly adhering to KYC and AML guidelines. 

In our commitment to quality, we employ a stringent 7M Framework for the listing of crypto projects, ensuring users access only the safest virtual digital assets. CoinDCX has partnered with Okto for India to launch a secure multi-chain DeFi app that offers a keyless, self-custody wallet . It aims to simplify the world of decentralized finance (DeFi) by providing a secure, user-friendly, and innovative solution for managing virtual digital assets. 

Through CoinDCX Ventures, we've invested in over 15 innovative Web3 projects, reinforcing our dedication to the Web3 ecosystem. Our flagship educational initiative, #NamasteWeb3, empowers Indians with web3 knowledge, preparing them for the future of virtual digital assets. CoinDCX's vision and potential have gained the confidence of global investors, including Pantera, Steadview Capital, Kingsway, Polychain Capital, B Capital Group, Bain Capital Ventures, Cadenza, Draper Dragon, Republic, Kindred, and Coinbase Ventures. 

At CoinDCX, we're leading India towards the decentralized future of Web3 with an unwavering commitment to safety, simplicity, and education.",http://coindcx.com/,Financial Services,"501-1,000 employees","Mumbai, Maharashtra",2018,"cryptocurrency, blockchain, digital assets, cryptocurrency exchange, bitcoin, xrp, usd, usdc, usdt, eth, crytpo trading india, crypto updates, p2p, wallets, and 250+ Markets",CoinDCX,https://www.linkedin.com/company/coindcx/
"ACKO is the protection destination for over 200 million tech-savvy families across India, protecting their families, assets and money. Launched in 2016, we set out to solve real-world problems with technology, starting with insurance and in the process, we’ve meaningfully redefined the category.

As a customer-first company, we believe insurance should be simple, fair and hassle-free. That’s why we pioneered the D2C model in India, empowering customers with zero commission, zero paperwork, instant renewals, same-day claim settlements and app-based claim updates. From auto and health insurance to embedded, bite-sized coverages, ACKO is built for the digital age, where protection is just a click away.

Backed by top investors like General Atlantic, Multiples Private Equity, Accel, and Amazon, we’ve raised over $450 million, grown at 88% CAGR in four years, served 75+ million customers, and issued ~900 million policies.

And we’re just getting started!

Check us out at www.acko.com",http://www.acko.com/,"Technology, Information and Internet","1,001-5,000 employees","Bangalore, Karnataka",2016,N/A,Acko,https://www.linkedin.com/company/acko/
"Established in 1982, ""Alex Jewelry Pvt. Ltd"" stands as a premier player in the domain of Imitation & Fashion jewelry, encompassing the roles of manufacturers, exporters, and importers. 

Our product range, crafted from superior-grade materials, has garnered widespread acclaim for its impeccable finish, captivating designs, and striking color combinations. Introducing the avant-garde ""Sanskruti"" brand, we've unveiled a splendid line of heavy deposition One Gram Gold Forming jewelry, showcasing our commitment to innovation.

In addition to our contemporary offerings, we boast an extensive collection of traditional jewelry under the distinguished brands of Alex and Rx Alex. These brands have swiftly ascended to market leadership, commanding a remarkable 60% share in the guaranteed jewelry segment. Look for the distinctive 'Rx' or 'Ax' mark on each piece, a symbol of authenticity and quality.

To experience the allure of our creations, visit our exclusive showrooms located in key cities:

Mumbai, Chennai, Coimbatore, Hyderabad, Bangalore

At ""Alex Jewelry Pvt. Ltd,"" we blend tradition with innovation, setting the stage for a captivating journey through the world of exquisite jewelry.",http://www.alexjewellery.com/,Retail Apparel and Fashion,201-500 employees,"Mumbai, Maharashtra",1982,"Imitation jewellery, Costume jewellery, Fashion Jewellery, American Diamond Necklace Set, Antique Necklace sets, Bridal Sets, Kundan Necklace Sets, and Antique Peacock Necklace Sets",Alex Jewellery,https://www.linkedin.com/company/alex-jewellery/
"Welcome to ENCO! We are a technology focused company that specialises in vehicle body sub-assemblies, suspensions & chassis products and are backward integrated into robotics, tooling & automation. Over the last 40 years we have supplied over 0.6 Billion components to over 25 companies across 4 countries which have been fitted in over 25 million passenger vehicles which have been sold in over 20 countries to generate over 100 Billion USD of revenue for our customers.

Since 1983, ENCO has remained steadfast at the helm of the global automotive industry, channeling years of pioneering research, engineering expertise, & innovation to provide world-class automotive products & services. With operations spreading across six locations in India, we excel in providing world-class services like robotic welding, assembly, forging, machining, plastics, IoT & industry 4.0 practices, transfer and progressive stamping, robotic welding, machining, ED coating, CNC bending, and injection moulding. Our expertise ranges from high tensile, progressive & transfer tooling, robotic fixtures, & PLC Controlled special purpose machines (SPM) to product design & simulation using FEA & CAE.

We proudly showcase a repertoire of more than 600+ unique products from Body In White (BIW) systems, side impact systems, suspensions, brake housings, & Anti vibration engine/motor mounts. 

Proud to serve prominent OEMs like Maruti Suzuki, Suzuki Motor Gujarat, Toyota, MG Motors, we are also a tier 2 supplier to a host of other global automotive companies.  

Utilising a spectrum of industry-leading software platforms, our team is well-versed in delivering an array of proficient services using tools such as SIEMENS NX, Solid Edge, Solidworks, AutoCAD & more. Our proprietary Real-Time Digital System, SanChalan, an AWS cloud-based platform, reinforces our dedication to pioneering the digital revolution within the industry.

We firmly adhere to the ethos of ‘Quality First’, with prestigious certifications",http://www.enco.in/,Automotive,"501-1,000 employees","Gurgaon, Haryana",1983,"Sheet metal stampings, Surface coating (ED & Powder Coating), Design services (CAD/CAM/Tool Design/Jig & Fixture Design), Welding, Jig & Fixture Manufacturing, Fabrication, and Auto Parts",ENCO Engineers Combine,https://www.linkedin.com/company/enco-engineers-combine/
"MiniKlub, from the house of First Steps Babywear, was born in 2013 and has now grown by leaps and bounds into an omni-channel brand with a presence in over 600 multi brand outlets, leading e-retailers and exclusive brand stores  - physical and online. 

The crux of the brand lies in its enthusiasm to create companions for little ones, as they discover the world around, with open mouthed wonder. Which is why, safety and comfort, along with functionality & aesthetics are crucial factors for our brand.

Each product is developed through diligent consumer research, material exploration, prototyping and market testing. Because we want to deliver the best. Always.

Lastly our garments are produced at factories that are certified for environmental safety, fair practices and sustainable technologies. Thus, ensuring that the garments are as easy on the planet as they are on your little ones.

The brand is growing at an aggressive pace and has plans to open over 75 exclusive brand stores in the next 2 years.",https://miniklub.in/,Retail Apparel and Fashion,"501-1,000 employees","Bangalore, Karnataka",2012,kids wear,Miniklub Retail,https://www.linkedin.com/company/fs-mini-klub/
"Kreddy brands is among the leading apparel manufacturers in India. Producing around 5,000 garments per day. Apart from our inhouse brands Roman Island, Sky Water, Andrew Mackenzie, the company has distribution rights for more than 35 brands making it the most trusted and reliable B2B clothing company in India.",https://kreddybrands.com/,Retail Apparel and Fashion,"501-1,000 employees","Hyderabad, Telangana",N/A,N/A,Kreddy Brands,https://www.linkedin.com/company/kreddy-brands/
"A part of the renowned Anna-Kitex group of companies, founded by the legendary Late Shri M. C. Jacob, Kitex Garments Ltd is the largest employer in private sector in the state of Kerala. It is located at Kizhakambalam a suburb town of Kochi. The company was established in 1992. With unmatched global connections,  Kitex caters to prominent and renowned conglomerates in USA and Europe. The company currently employs around 9500 people at its facility, and has been a business provider to many satellite businesses in the state.",http://www.kitexgarments.com/,Textile Manufacturing,"5,001-10,000 employees","COCHIN , KIZHAKKAMBALAM",1992,N/A,Kitex Garments,https://www.linkedin.com/company/kitex-garments-limited/
"COLOR CAPITAL® is a leading retailer of apparel and fashion products in Indian e-commerce industry. We are also a manufacturing house, manufacturing COLOR CAPITAL® products as well as contract manufacturing for other brands and companies.",https://www.colorcapital.in/,Retail Apparel and Fashion,"501-1,000 employees","Indore, Madhya Pradesh",2018,N/A,Color Capital,https://www.linkedin.com/company/colorcapitalindia/
N/A,http://jollysilks.com/,N/A,N/A,N/A,N/A,N/A,Jolly Silks,https://www.linkedin.com/company/jolly-silks---india/
"JadeBlue is a luxury lifestyle retail chain renowned for the breadth and depth of exclusive menswear and fashion merchandise. It is one of India’s largest exclusive menswear stores. JadeBlue offers many of the world’s most prestigious men’s formals, casuals, occasion wear brands, fabrics, professional outfitting, customized designs, ethnic wear and accessories.",http://jadeblue.com/,Retail,"1,001-5,000 employees","Ahmedabad, Gujarat",1995,"Menswear, Bespoke Clothing, Ready-to-Wear, Multi Brand Store, Ethnic Wear, Men's Accessories, and Men's Clothing",Jade Blue Lifestyle,https://www.linkedin.com/company/jadeblue/
"Exult is now part of Newgen Enterprise. Newgen founded in the year 1996 is a Chennai, India-based a Carlyle Group portfolio company. Newgen Enterprise is a leading solutions provider in eLearning, digital marketing and language services.

We partner with numerous leading and Fortune 1000 companies from around the globe to address their specific requirements and help them achieve their business goals. We believe in adding value and follow a working model that renders a consultative approach, as opposed to a “production only” model. We bring in strong experience and expertise in Training development, Learning Management System (LMS) Administration, Mobile Applications, Localization, Web Technology, Publishing and Technical Documentation.

Encompassed with a huge experience base in Publishing, Content Transformation and Learning Solutions Development, we have in time mastered the art of aiding entities succeed through our innovative approaches and solutions that are cost effective. We have a strong 1500+ team spread over eleven global locations that provide cost effective solutions to our customers from varied industries.",http://www.newgen-ent.com/,E-Learning Providers,"501-1,000 employees","Pune, Mahararashtra",1996,"Learning Consulting, Blended Learning, E-Learning, Mobile Learning, Instructional Design, Graphic Design, Project Management, Learning Strategy, Translation and Localization, Learning Solutions, and Training Strategy",Newgen Enterprise,https://www.linkedin.com/company/newgenenterprise/
"D2D International was incorporated in the year 2006 and carved a niche in industry as the known manufacturers and exporters of Kids, Ladies and Men's Wears. Established in 2006 by visionary, young and dynamic entrepreneur Mr. Sasi. D2D directly employs over 1500 people out of which 60% are Women Employees.

Delivering products across ladies, men’s and children’s wear, our vertically integrated operations, diversified product range, and a strong commitment to sustainable operations have established D2D as one of the most preferred garment manufacturers in the world.

D2D always believe in improving the peoples quality of life through our products and excellent services. We are a people-focused business with an emphasis on promoting and advancing ethical working practices across the industry. We are also committed to continuous improvement of our environmental footprint across all of our operations. 

We hold a wide range of accreditations and certifications and are proud to be a trusted supplier to many of the world’s leading apparel retailers including Walmart, next, Splash, Bossini, Kappa, Best & Less and many others.",http://www.d2dinternational.com/,Retail Apparel and Fashion,"1,001-5,000 employees","Tirupur, Tamilnadu",2006,"Apparel, Fashion, Design, Manufacturing, and Sustainability",D2D International,https://www.linkedin.com/company/d2dinternational/
"Honeywell Creation Established in the year 2004 engaged in manufacturing, supplying and exporting of high quality knitted and hosiery garments. We are a Government-recognized star Export house, catering Knitted Garments for kids, men and women. We specialize in kids wear & Men's Polo and ladies tops, nightwear. We are based in Tirupur with established capacity of 1300 no’s Imported power operated machines. With  production capacity of. 7, 00,000 pieces output per month.",http://www.honeywellcreation.com/,Retail Apparel and Fashion,"5,001-10,000 employees","Tiruppur, Tamil Nadu",2000,N/A,Honeywell Creation,https://www.linkedin.com/company/honeywell-creation/
"Established in the year 2006, Laguna Clothing started as a 50-50 joint venture between Tessitura Monti of Italy and Aquarelle Group (part of CIEL Textile) from Mauritius. 

In the year 2020 CIEL Textile acquired 100% ownership of Laguna clothing.
We are one of the leading manufacturers of high-end formal, semi-formal, casual and sports shirts for brands like Polo Ralph Lauren, Dillard’s, Hackett, Dressmann, Tommy Hilfiger, REISS, Charles Tyrwhitt, Bestseller, DKNY, Calvin Klein, Benetton, Tiger of Sweden, Harmont & Blaine, etc.

Our shirts are an outcome of fine counts of fabrics cut & stitched by highly skilled workers on best-in-class machines.

We provide design to delivery service with our world-class infrastructure. Quality is our USP and we do everything to achieve it at best.

Our production unit is based in Bangalore, India with an annual capacity of 5 million shirts.

We are fully compliant and hold globally accepted certificates like ISO 26000, Sedex, Flocert, GOTS, Oeko Tex and Higg Index.

Our Vision: Be the best Global Fashion Partner
 
We are committed to creating an inclusive work environment with a diverse workforce. We encourage our teams to think freely and take initiatives, by providing an atmosphere of learning, growth and enthusiasm.  
 
For Opportunities with us: Please send your applications to careers@laguna-clothing.com",https://cieltextile.com/,Retail Apparel and Fashion,"1,001-5,000 employees","Bangalore, Karnataka",N/A,"Men's formal and semi-formal shirts, Clean shirts with light washes, Classic formal shirts, Premium shirts, Design to Delivery service, Premium Quality, and Global Fashion Partner",Laguna Clothing,https://www.linkedin.com/company/laguna-clothing-llp/
"Our products represent the pinnacle of Indian craftsmanship and are unsurpassed for their quality and attention to detail.

Anges bags is the handbags arm of Ganges Jute Pvt Ltd, a world leader in Jute fabrics and diversified products, having a history and experience of over 50 years.

We are an environmentally friendly manufacturing company based in Kolkata dealing in Jute, Cotton and Juco bags.",http://angesbags.com/,Renewable Energy Semiconductor Manufacturing,"5,001-10,000 employees",N/A,2005,N/A,Anges Bags,https://www.linkedin.com/company/anges-bags---india/
